How many accidents in Queens could have been caused by Distraction due to Thunder in 2020? ---- Answer: 686

+-------------+------------+--------------------+-----------+---------------------+-----------------+-----------+--------------------------+
| Accident    | Borough    | Location           | Zipcode   | Date                | Station ID      | Weather   | Station Type             |
| act:4315588 | act:Queens | act:40.689,-73.836 | act:11419 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4316596 | act:Queens | act:40.668,-73.842 | act:11414 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4320073 | act:Queens | act:40.696,-73.827 | act:11418 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4316830 | act:Queens | act:40.703,-73.908 | act:11385 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4315284 | act:Queens | act:40.756,-73.918 |           | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4316115 | act:Queens | act:40.742,-73.923 | act:11104 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4315232 | act:Queens | act:40.712,-73.801 | act:11432 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4315316 | act:Queens | act:40.770,-73.793 | act:11358 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4316765 | act:Queens | act:40.734,-73.870 | act:11373 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4316657 | act:Queens | act:40.737,-73.918 | act:11377 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4317163 | act:Queens | act:40.734,-73.870 | act:11373 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4317682 | act:Queens | act:40.609,-73.754 | act:11691 | 2020-06-03T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200603 |
| act:4320833 | act:Queens | act:40.731,-73.899 | act:11378 | 2020-06-04T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200604 |
| act:4324234 | act:Queens | act:40.700,-73.911 |           | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4324559 | act:Queens | act:40.765,-73.932 |           | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4323743 | act:Queens | act:40.706,-73.752 | act:11412 | 2020-06-28T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200628 |
| act:4319279 | act:Queens | act:40.687,-73.827 | act:11419 | 2020-06-06T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200606 |
| act:4324159 | act:Queens | act:40.716,-73.834 | act:11375 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4324194 | act:Queens | act:40.746,-73.951 |           | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4319375 | act:Queens | act:40.688,-73.826 | act:11419 | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4317594 | act:Queens | act:40.768,-73.921 | act:11102 | 2020-06-03T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200603 |
| act:4320121 | act:Queens | act:40.597,-73.747 | act:11691 | 2020-06-04T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200604 |
| act:4324008 | act:Queens | act:40.599,-73.759 | act:11691 | 2020-06-28T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200628 |
| act:4324570 | act:Queens | act:40.702,-73.828 | act:11418 | 2020-06-30T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200630 |
| act:4326683 | act:Queens | act:40.754,-73.926 | act:11101 | 2020-06-30T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200630 |
| act:4333329 | act:Queens | act:40.767,-73.886 | act:11370 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4324155 | act:Queens | act:40.711,-73.788 | act:11432 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4317650 | act:Queens | act:40.697,-73.893 |           | 2020-06-03T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200603 |
| act:4320163 | act:Queens | act:40.609,-73.755 | act:11691 | 2020-06-05T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200605 |
| act:4324160 | act:Queens | act:40.735,-73.851 | act:11375 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4319354 | act:Queens | act:40.741,-73.934 | act:11101 | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4318113 | act:Queens | act:40.767,-73.888 |           | 2020-06-05T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200605 |
| act:4323927 | act:Queens | act:40.690,-73.868 | act:11421 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4323526 | act:Queens | act:40.750,-73.939 |           | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4318305 | act:Queens | act:40.738,-73.860 | act:11368 | 2020-06-06T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200606 |
| act:4317981 | act:Queens | act:40.730,-73.912 |           | 2020-06-05T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200605 |
| act:4318011 | act:Queens | act:40.688,-73.784 | act:11434 | 2020-06-04T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200604 |
| act:4318173 | act:Queens | act:40.701,-73.892 | act:11385 | 2020-06-06T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200606 |
| act:4320096 | act:Queens | act:40.601,-73.747 | act:11691 | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4318303 | act:Queens | act:40.745,-73.871 | act:11373 | 2020-06-04T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200604 |
| act:4320502 | act:Queens | act:40.756,-73.947 | act:11101 | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4323580 | act:Queens | act:40.767,-73.793 | act:11358 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4341249 | act:Queens | act:40.686,-73.802 | act:11435 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4324773 | act:Queens | act:40.667,-73.771 | act:11434 | 2020-06-28T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200628 |
| act:4324196 | act:Queens | act:40.747,-73.904 | act:11377 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4323881 | act:Queens | act:40.687,-73.833 | act:11419 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4323868 | act:Queens | act:40.750,-73.863 | act:11368 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4318085 | act:Queens | act:40.704,-73.856 |           | 2020-06-04T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200604 |
| act:4323546 | act:Queens | act:40.693,-73.752 | act:11412 | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4319356 | act:Queens | act:40.725,-73.845 | act:11375 | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4317590 | act:Queens | act:40.721,-73.748 | act:11428 | 2020-06-03T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200603 |
| act:4324199 | act:Queens | act:40.667,-73.804 | act:11420 | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4319370 | act:Queens | act:40.685,-73.793 |           | 2020-06-11T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200611 |
| act:4324478 | act:Queens | act:40.767,-73.888 |           | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4323597 | act:Queens | act:40.760,-73.769 |           | 2020-06-27T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200627 |
| act:4323588 | act:Queens | act:40.760,-73.769 |           | 2020-06-28T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200628 |
| act:4317985 | act:Queens | act:40.752,-73.904 | act:11377 | 2020-06-05T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200605 |
| act:4318083 | act:Queens | act:40.672,-73.800 | act:11436 | 2020-06-05T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200605 |
| act:4324466 | act:Queens | act:40.760,-73.861 |           | 2020-06-29T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200629 |
| act:4318234 | act:Queens | act:40.734,-73.704 | act:11001 | 2020-06-06T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200606 |
