GHCND,STATION_NAME,CC,ST,COUNTY,LAT_DEC,LON_DEC
USC00307728,SHORTSVILLE,US,NY,ONTARIO,42.95,-77.25
USC00307748,SILVER BAY,US,NY,WARREN,43.7,-73.516667
USC00307925,SOUTH COLTON,US,NY,ST. LAWRENCE,44.516667,-74.883333
USC00307940,SOUTH EDMESTON,US,NY,OTSEGO,42.683333,-75.316667
USC00308099,SPERRYVILLE,US,NY,LEWIS,43.766667,-75.3
USC00308309,STRAITS CORNERS N,US,NY,TIOGA,42.15,-76.383333
USC00308388,TABERG,US,NY,ONEIDA,43.3,-75.616667
USC00308393,TAHAWUS,US,NY,ESSEX,43.966667,-74.033333
USC00308597,TROY,US,NY,RENSSELAER,42.783333,-73.666667
USC00308856,VOORHEESVILLE,US,NY,ALBANY,42.65,-73.9
USC00308860,VOLUSIA,US,NY,CHAUTAUQUA,42.266667,-79.6
USC00309100,WEST BERNE,US,NY,ALBANY,42.616667,-74.166667
USC00309205,WEST HARPERSFIELD,US,NY,DELAWARE,42.433333,-74.716667
USC00309383,WHITEFACE MOUNTAI,US,NY,ESSEX,44.366667,-73.9
USC00309457,WILLARD,US,NY,SENECA,42.683333,-76.883333
USC00309494,WILLSBORO,US,NY,ESSEX,44.333333,-73.35
USC00309510,WINDECKER,US,NY,LEWIS,43.8,-75.616667
USC00309640,YORK,US,NY,LIVINGSTON,42.883333,-77.883333
USC00309691,YOUNGSTOWN,US,NY,NIAGARA,43.25,-79.05
USW00093732,NEW YORK SHOALS A,US,NY,0,39.8,-72.66667
USW00014786,NEW YORK FLOYD BE,US,NY,KINGS,40.58333,-73.88333
USC00305796,NEW YORK AVE V BR,US,NY,KINGS,40.583333,-73.966667
USC00300621,BENSONHURST,US,NY,KINGS,40.6,-73.96667
USC00305798,NEW YORK BENSONHU,US,NY,KINGS,40.6,-73.96667
USC00305821,NEW YORK WESTERLE,US,NY,RICHMOND,40.6,-74.166667
USC00308946,WANTAGH CEDAR CRE,US,NY,NASSAU,40.65,-73.51667
USC00303042,FREEPORT,US,NY,NASSAU,40.666667,-73.6
USC00303786,HEMPSTEAD MALVERN,US,NY,NASSAU,40.683333,-73.666667
USW00094789,NEW YORK FORT TOT,US,NY,QUEENS,40.78333,-73.76667
USC00300351,BABYLON,US,NY,SUFFOLK,40.7,-73.316667
USC00309117,WESTBURY,US,NY,NASSAU,40.73333,-73.6
USW00014708,HEMPSTEAD MITCHEL,US,NY,NASSAU,40.73333,-73.6
USC00303781,HEMPSTEAD GARDEN,US,NY,NASSAU,40.71667,-73.63333
USC00305382,MINEOLA 1 W,US,NY,NASSAU,40.733333,-73.65
USC00305377,MINEOLA,US,NY,NASSAU,40.733333,-73.633333
USC00304632,LAUREL HILL,US,NY,QUEENS,40.73333,-73.93333
USC00305804,NEW YORK LAUREL H,US,NY,QUEENS,40.73333,-73.93333
USC00305816,NEW YORK WSO,US,NY,NEW YORK,40.70111,-74.01527
USW00054787,FARMINGDALE AIRPO,US,NY,SUFFOLK,40.73333,-73.43333
USC00306441,PATCHOGUE 2 SW,US,NY,SUFFOLK,40.75,-73.05
USW00004781,ISLIP,US,NY,SUFFOLK,40.8,-73.11667
USC00300862,BRENTWOOD,US,NY,SUFFOLK,40.766667,-73.233333
USC00302760,FARMINGDALE 2 NE,US,NY,SUFFOLK,40.75,-73.433333
USW00014732,LAGUARDIA,US,NY,QUEENS,40.76667,-73.86667
USW00094728,NEW YORK/CENT PK,US,NY,NEW YORK,40.76761,-73.97125
USC00303919,HOLBROOK,US,NY,SUFFOLK,40.83333,-73.08333
USC00304563,LAKE RONKONKOMA,US,NY,SUFFOLK,40.833333,-73.133333
USC00302964,FORT SCHUYLER,US,NY,BRONX,40.8,-73.8
USW00014719,SUFFOLK COUNTY AP,US,NY,SUFFOLK,40.85,-72.65
USC00308720,UPTON WB CITY,US,NY,SUFFOLK,40.86667,-72.88333
USC00305799,NEW YORK BOTANICA,US,NY,BRONX,40.86667,-73.88333
USC00305806,NEW YORK N.Y. UNI,US,NY,BRONX,40.85,-73.916667
USC00308773,VANDERBILT MUSEUM,US,NY,SUFFOLK,40.9,-73.36667
USC00306019,NORTHPORT,US,NY,SUFFOLK,40.9,-73.35
USC00304613,LARCHMONT,US,NY,WESTCHESTER,40.95,-73.766667
USC00302291,EASTCHESTER,US,NY,WESTCHESTER,40.933333,-73.8
USC00306768,PORT JEFFERSON,US,NY,SUFFOLK,40.95,-73.06667
USC00307633,SETAUKET,US,NY,SUFFOLK,40.966667,-73.1
USC00307497,SCARSDALE,US,NY,WESTCHESTER,40.983333,-73.8
USC00307134,RIVERHEAD RESEARC,US,NY,SUFFOLK,40.966667,-72.716667
USC00301949,CUTCHOGUE,US,NY,SUFFOLK,41.016667,-72.483333
USC00309400,WHITE PLAINS MAPL,US,NY,WESTCHESTER,41.016667,-73.75
USC00309576,WOODLANDS ARDSLEY,US,NY,WESTCHESTER,41.016667,-73.85
USC00302129,DOBBS FERRY,US,NY,WESTCHESTER,41.016667,-73.866667
USC00308072,SPARKILL,US,NY,ROCKLAND,41.033333,-73.933333
USC00305441,MONTAUK,US,NY,SUFFOLK,41.05,-71.95
USC00308749,VALHALLA,US,NY,WESTCHESTER,41.066667,-73.766667
USW00094745,WHITE PLAINS AIRP,US,NY,WESTCHESTER,41.06667,-73.71667
USC00303464,GREENPORT POWER H,US,NY,SUFFOLK,41.1,-72.36667
USC00306674,PLEASANTVILLE,US,NY,WESTCHESTER,41.15,-73.766667
USC00308130,SPRING VALLEY,US,NY,ROCKLAND,41.116667,-74.05
USC00308321,SUFFERN 2 E,US,NY,ROCKLAND,41.133333,-74.116667
USC00308322,SUFFERN WATER WOR,US,NY,ROCKLAND,41.11667,-74.15
USC00306275,ORIENT 2 E,US,NY,SUFFOLK,41.15,-72.266667
USC00305110,MARYKNOLL,US,NY,WESTCHESTER,41.18333,-73.83333
USC00306301,OSSINING SING SIN,US,NY,WESTCHESTER,41.15,-73.866667
USC00300511,BEDFORD HILLS,US,NY,WESTCHESTER,41.233333,-73.716667
USC00301912,CROTON LAKE,US,NY,WESTCHESTER,41.233333,-73.8
USC00301896,CROSS RIVER,US,NY,WESTCHESTER,41.266667,-73.683333
USC00309660,YORKTOWN HEIGHTS,US,NY,WESTCHESTER,41.266667,-73.766667
USC00300136,AMAWALK,US,NY,WESTCHESTER,41.28333,-73.75
USC00309670,YORKTOWN HEIGHTS,US,NY,WESTCHESTER,41.26667,-73.8
USC00308967,WARWICK,US,NY,ORANGE,41.283333,-74.366667
USC00308523,TITICUS,US,NY,WESTCHESTER,41.333333,-73.65
USC00307742,SHRUB OAK,US,NY,WESTCHESTER,41.33333,-73.83333
USW00014797,BEAR MOUNTAIN WB,US,NY,ORANGE,41.31667,-74
USC00305283,MIDDLE BRANCH RES,US,NY,PUTNAM,41.383333,-73.65
USC00301904,CROTON FALLS,US,NY,WESTCHESTER,41.35,-73.666667
USC00309292,WEST POINT,US,NY,ORANGE,41.4,-73.95
USC00303144,GARDNERVILLE,US,NY,ORANGE,41.35,-74.48333
USC00306774,PORT JERVIS,US,NY,ORANGE,41.333333,-74.716667
USC00302282,EAST BRANCH,US,NY,PUTNAM,41.4,-73.583333
USC00300878,BREWSTER NEAR,US,NY,PUTNAM,41.433333,-73.6
USC00308512,TILLY FOSTER,US,NY,PUTNAM,41.4,-73.65
USC00301207,CARMEL 1SW,US,NY,WESTCHESTER,41.416667,-73.7
USC00306562,PHILLIPSBURG,US,NY,ORANGE,41.43333,-74.36667
USC00305312,MIDDLETOWN 2,US,NY,ORANGE,41.43333,-74.41667
USC00300808,BOYDS CORNERS,US,NY,PUTNAM,41.483333,-73.716667
USC00305310,MIDDLETOWN 2 NW,US,NY,ORANGE,41.5,-74.5
USC00309413,WHITE POND,US,NY,PUTNAM,41.5,-73.75
USC00303259,GLENHAM,US,NY,DUTCHESS,41.516667,-73.933333
USW00014714,STEWART FIELD,US,NY,ORANGE,41.5,-74.1
USW00004789,MONTGOMERY ORANGE,US,NY,ORANGE,41.5,-74.25
USC00306119,OAKLAND VALLEY,US,NY,ORANGE,41.5,-74.65
USC00308902,WALDEN,US,NY,ORANGE,41.566667,-74.166667
USC00308906,WALDEN 1 ESE,US,NY,ORANGE,41.55,-74.16667
USC00307205,ROCK HILL,US,NY,SULLIVAN,41.6,-74.6
USC00307210,ROCK HILL 3 SW,US,NY,SULLIVAN,41.58333,-74.61667
USC00305639,NARROWSBURG,US,NY,SULLIVAN,41.6,-75.05
USC00305728,NEW HACKENSACK,US,NY,DUTCHESS,41.63333,-73.88333
USC00305435,MONGAUP VALLEY 4,US,NY,SULLIVAN,41.61667,-74.81667
USC00308949,WAPPINGERS FALLS,US,NY,DUTCHESS,41.6,-73.916667
USC00306817,DUTCHESS/ACADEMY,US,NY,DUTCHESS,41.683333,-73.916667
USC00303138,GARDINER,US,NY,ULSTER,41.68333,-74.16667
USC00305759,NEW PALTZ 4 SW,US,NY,ULSTER,41.68333,-74.13333
USC00306827,POUGHKEEPSIE PEND,US,NY,DUTCHESS,41.71667,-73.91667
USC00302582,ELLENVILLE,US,NY,ULSTER,41.716667,-74.4
USC00305426,MOHONK LAKE,US,NY,ULSTER,41.766667,-74.15
USC00303953,HONK FALLS,US,NY,ULSTER,41.75,-74.383333
USC00304486,LACKAWACK,US,NY,ULSTER,41.783333,-74.4
USC00301101,CALLICOON,US,NY,SULLIVAN,41.76667,-75.05
USC00301103,CALLICOON 2,US,NY,SULLIVAN,41.783333,-75.05
USC00303839,HIGH FALLS,US,NY,ULSTER,41.833333,-74.133333
USC00305276,MERRIMAN DAM,US,NY,ULSTER,41.8,-74.43333
USC00305671,NEVERSINK,US,NY,SULLIVAN,41.833333,-74.65
USC00304731,LIBERTY 1 NE,US,NY,SULLIVAN,41.816667,-74.75
USC00305334,MILLBROOK,US,NY,DUTCHESS,41.85,-73.616667
USC00307115,RIFTON 1 N,US,NY,ULSTER,41.816667,-74.05
USC00307274,ROSENDALE 2 E,US,NY,ULSTER,41.85,-74.05
USC00308352,SUNDOWN,US,NY,ULSTER,41.883333,-74.466667
USC00303365,GRAHAMSVILLE,US,NY,SULLIVAN,41.85,-74.55
USC00301521,CLARYVILLE 3 SW,US,NY,SULLIVAN,41.88333,-74.6
USC00304429,KINGSTON GAS PLAN,US,NY,ULSTER,41.91667,-73.98333
USC00304424,KINGSTON,US,NY,ULSTER,41.916667,-74.033333
USC00306479,PEEKAMOOSE,US,NY,ULSTER,41.933333,-74.383333
USC00301523,CLARYVILLE 2 SW,US,NY,SULLIVAN,41.91667,-74.6
USC00301079,BUTTERNUT BROOK,US,NY,SULLIVAN,41.916667,-74.666667
USC00306426,PARKSTON,US,NY,SULLIVAN,41.9,-74.816667
USC00307260,ROSCOE,US,NY,SULLIVAN,41.93333,-74.9
USC00305346,MILLERTON,US,NY,DUTCHESS,41.95,-73.516667
USC00300985,BROWN STN,US,NY,ULSTER,41.95,-74.21667
USC00307721,SHOKAN BROWN STN,US,NY,ULSTER,41.95,-74.21667
USC00309311,WEST SHOKAN 3 SW,US,NY,ULSTER,41.95,-74.316667
USC00303076,FROST VALLEY,US,NY,ULSTER,41.966667,-74.516667
USC00304706,LEWBEACH,US,NY,SULLIVAN,41.95,-74.833333
USC00301850,CRAIGIE CLAIR,US,NY,SULLIVAN,41.966667,-74.866667
USC00302829,FISHS EDDY,US,NY,DELAWARE,41.96667,-75.18333
USC00303251,GLENFORD,US,NY,ULSTER,42.016667,-74.133333
USC00301615,COLD BROOK,US,NY,ULSTER,42.016667,-74.266667
USC00307799,SLIDE MOUNTAIN,US,NY,ULSTER,42.016667,-74.416667
USC00300393,BALSAM LAKE,US,NY,ULSTER,42.03333,-74.6
USC00303714,HARVARD,US,NY,DELAWARE,42.016667,-75.116667
USC00303575,HALE EDDY,US,NY,DELAWARE,42,-75.38333
USC00301700,CONKLIN,US,NY,BROOME,42.116667,-75.8
USC00301413,CHEMUNG,US,NY,CHEMUNG,42,-76.633333
USC00304772,LINDLEY,US,NY,STEUBEN,42.03333,-77.13333
USC00300023,ADDISON,US,NY,STEUBEN,42,-77.23333
USC00309425,WHITESVILLE,US,NY,ALLEGANY,42.03333,-77.76667
USC00306789,PORTVILLE,US,NY,CATTARAUGUS,42.03333,-78.33333
USC00304450,KNAPP CREEK,US,NY,CATTARAUGUS,42,-78.516667
USC00304533,LAKE HILL,US,NY,ULSTER,42.05,-74.183333
USC00306567,PHOENICIA,US,NY,ULSTER,42.083333,-74.316667
USC00307596,SEAGER,US,NY,ULSTER,42.05,-74.55
USC00305120,MARY SMITH,US,NY,DELAWARE,42.05,-74.816667
USC00302169,DOWNSVILLE DAM,US,NY,DELAWARE,42.08333,-74.96667
USC00302164,DOWNSVILLE,US,NY,DELAWARE,42.083333,-75
USC00302060,DEPOSIT,US,NY,DELAWARE,42.066667,-75.433333
USC00308833,VESTAL,US,NY,BROOME,42.05,-76.05
USW00014738,BINGHAMTON TRI-CI,US,NY,BROOME,42.08333,-76.1
USC00306356,OWEGO 3 WSW,US,NY,TIOGA,42.08333,-76.31667
USC00302610,ELMIRA ACADEMY,US,NY,CHEMUNG,42.1,-76.8
USC00301792,CORNING 5 SSW,US,NY,STEUBEN,42.06667,-77.05
USC00308594,TROUPSBURG 4 NE,US,NY,STEUBEN,42.066667,-77.5
USC00300766,BOLIVAR,US,NY,ALLEGANY,42.05,-78.2
USC00306196,OLEAN,US,NY,CATTARAUGUS,42.083333,-78.433333
USC00302517,EDGEWOOD,US,NY,GREENE,42.133333,-74.233333
USC00303864,HIGHMOUNT,US,NY,ULSTER,42.15,-74.483333
USC00300254,ARKVILLE,US,NY,DELAWARE,42.15,-74.61667
USC00300237,ARENA,US,NY,DELAWARE,42.1,-74.71667
USC00308432,TERRY CLOVE,US,NY,DELAWARE,42.133333,-74.9
USC00300540,BEERSTON,US,NY,DELAWARE,42.116667,-75.166667
USC00301471,CHINA 2,US,NY,DELAWARE,42.133333,-75.4
USW00014798,BINGHAMTON 1,US,NY,BROOME,42.1,-75.916667
USC00300681,BINGHAMTON SUSQUE,US,NY,BROOME,42.1,-75.916667
USC00308831,VESTAL,US,NY,BROOME,42.083333,-76.05
USC00301787,CORNING 2 SE,US,NY,STEUBEN,42.11667,-77.06667
USC00309072,WELLSVILLE,US,NY,ALLEGANY,42.1,-77.93333
USC00303065,FRIENDSHIP 7 SW,US,NY,ALLEGANY,42.13333,-78.23333
USC00300093,ALLEGANY/ST PK,US,NY,CATTARAUGUS,42,-78.833333
USC00306989,RED HOUSE,US,NY,CATTARAUGUS,42.068,-78.805167
USC00304207,JAMESTOWN SEWAGE,US,NY,CHAUTAUQUA,42.11667,-79.16667
USC00304206,JAMESTOWN,US,NY,CHAUTAUQUA,42.1,-79.216667
USC00308403,TANNERSVILLE SEWA,US,NY,GREENE,42.183333,-74.166667
USC00302562,ELKA PARK,US,NY,GREENE,42.166667,-74.166667
USC00301065,BUSHNELLSVILLE 1,US,NY,GREENE,42.166667,-74.4
USC00308936,WALTON,US,NY,DELAWARE,42.16667,-75.13333
USC00301466,CHINA,US,NY,DELAWARE,42.166667,-75.4
USC00303669,HARPURSVILLE,US,NY,BROOME,42.15,-75.616667
USW00014748,ELMIRA CORNING AP,US,NY,CHEMUNG,42.16667,-76.9
USC00307918,SOUTH CANISTEO,US,NY,STEUBEN,42.216667,-77.583333
USC00309229,WEST JASPER,US,NY,STEUBEN,42.15,-77.583333
USC00300175,ANDOVER,US,NY,ALLEGANY,42.15,-77.8
USC00307557,SCIO,US,NY,ALLEGANY,42.166667,-77.983333
USC00309076,WELLSVILLE 4 NNW,US,NY,ALLEGANY,42.16667,-77.98333
USC00303069,FRIENDSHIP 4 SW,US,NY,ALLEGANY,42.2,-78.166667
USC00307398,SALAMANCA 2 NE,US,NY,CATTARAUGUS,42.16667,-78.68333
USC00307397,SALAMANCA,US,NY,CATTARAUGUS,42.183333,-78.716667
USC00307713,SHERMAN,US,NY,CHAUTAUQUA,42.166667,-79.6
USC00304025,HUDSON 4 SE,US,NY,COLUMBIA,42.21667,-73.76667
USC00301260,CATSKILL 1 N,US,NY,GREENE,42.233333,-73.866667
USC00308405,TANNERSVILLE 2 E,US,NY,GREENE,42.2,-74.1
USC00304052,HUNTER MOUNTAIN,US,NY,GREENE,42.2,-74.21667
USC00309237,WEST KILL,US,NY,GREENE,42.2,-74.383333
USC00304723,LEXINGTON 1 SE,US,NY,GREENE,42.233333,-74.333333
USC00303566,HALCOTT CENTRE,US,NY,GREENE,42.233333,-74.483333
USC00303567,HALCOTT CENTER 1,US,NY,GREENE,42.2,-74.48333
USC00305743,NEW KINGSTON,US,NY,DELAWARE,42.233333,-74.683333
USC00300167,ANDES,US,NY,DELAWARE,42.2,-74.783333
USC00308935,WALTON 5 NE,US,NY,DELAWARE,42.2,-75.166667
USC00301415,CHENANGO FORKS 2,US,NY,BROOME,42.21667,-75.85
USW00004725,BINGHAMTON WSO AP,US,NY,BROOME,42.216667,-75.983333
USC00305682,NEWARK VALLEY,US,NY,TIOGA,42.25,-76.25
USC00301168,CANDOR,US,NY,TIOGA,42.233333,-76.333333
USC00308088,SPENCER 3 W,US,NY,CHEMUNG,42.216667,-76.5
USC00308089,SPENCER 2 WSW,US,NY,TIOGA,42.2,-76.53333
USC00308090,SPENCER 3 SW,US,NY,TIOGA,42.18333,-76.51667
USC00308091,SPENCER 2 W,US,NY,TIOGA,42.2,-76.53333
USC00308498,THURSTON,US,NY,STEUBEN,42.2,-77.333333
USC00309125,WEST CAMERON,US,NY,STEUBEN,42.21667,-77.41667
USC00304024,HUDSON,US,NY,COLUMBIA,42.25,-73.783333
USC00302362,EAST JEWETT,US,NY,GREENE,42.25,-74.183333
USC00307317,ROXBURY,US,NY,DELAWARE,42.283333,-74.566667
USC00300799,BOVINA,US,NY,DELAWARE,42.266667,-74.733333
USC00304525,LAKE DELAWARE,US,NY,DELAWARE,42.25,-74.9
USC00302036,DELHI 2 SE,US,NY,DELAWARE,42.266667,-74.966667
USC00300268,ARNOT SCS,US,NY,SCHUYLER,42.266667,-76.65
USC00301173,CANISTEO 1 S,US,NY,STEUBEN,42.266667,-77.616667
USC00300085,ALFRED,US,NY,ALLEGANY,42.27985,-77.76643
USC00309088,WEST ALMOND,US,NY,ALLEGANY,42.3,-77.95
USC00304808,LITTLE VALLEY,US,NY,CATTARAUGUS,42.25,-78.8
USC00307772,SINCLAIRVILLE,US,NY,CHAUTAUQUA,42.26667,-79.26667
USC00309189,WESTFIELD 3 SW,US,NY,CHAUTAUQUA,42.333333,-79.616667
USC00308096,SPENCERTOWN,US,NY,COLUMBIA,42.333333,-73.55
USC00301093,CAIRO,US,NY,GREENE,42.316667,-74.016667
USC00301095,CAIRO 4 NW,US,NY,GREENE,42.33333,-74.05
USC00309516,WINDHAM 2 E,US,NY,GREENE,42.3,-74.25
USC00309514,WINDHAM,US,NY,GREENE,42.3,-74.25
USC00306842,PRATTSVILLE 5 E,US,NY,GREENE,42.3,-74.33333
USC00306839,PRATTSVILLE 3 N,US,NY,GREENE,42.316667,-74.433333
USC00306999,RELAY,US,NY,DELAWARE,42.316667,-74.633333
USC00302302,EAST DELHI,US,NY,DELAWARE,42.283333,-74.916667
