STATION_ID,WEATHER_ID,WEATHER_TYPE,DATE
USW00014733,WT08,Smoke or haze,20200113
USW00014757,WT01,Fog or ice fog or freezing fog,20200113
USW00014757,WT08,Smoke or haze,20200113
USW00064776,WT01,Fog or ice fog or freezing fog,20200113
USW00094725,WT01,Fog or ice fog or freezing fog,20200113
USW00094728,WT08,Smoke or haze,20200113
USW00094740,WT01,Fog or ice fog or freezing fog,20200113
USW00094789,WT01,Fog or ice fog or freezing fog,20200113
USW00094790,WT01,Fog or ice fog or freezing fog,20200113
USC00300023,WT01,Fog or ice fog or freezing fog,20200114
USC00300785,WT01,Fog or ice fog or freezing fog,20200114
USC00301211,WT01,Fog or ice fog or freezing fog,20200114
USC00301309,WT01,Fog or ice fog or freezing fog,20200114
USC00303322,WT01,Fog or ice fog or freezing fog,20200114
USC00305426,WT01,Fog or ice fog or freezing fog,20200114
USC00305512,WT01,Fog or ice fog or freezing fog,20200114
USC00306047,WT01,Fog or ice fog or freezing fog,20200114
USC00309049,WT01,Fog or ice fog or freezing fog,20200114
USW00004725,WT01,Fog or ice fog or freezing fog,20200114
USW00004781,WT01,Fog or ice fog or freezing fog,20200114
USW00004781,WT02,Heavy Fog,20200114
USW00014732,WT01,Fog or ice fog or freezing fog,20200114
USW00014732,WT08,Smoke or haze,20200114
USW00014735,WT04,Ice pellets,20200114
USW00014757,WT01,Fog or ice fog or freezing fog,20200114
USW00014757,WT02,Heavy Fog,20200114
USW00014768,WT01,Fog or ice fog or freezing fog,20200114
USW00014771,WT01,Fog or ice fog or freezing fog,20200114
USW00064776,WT01,Fog or ice fog or freezing fog,20200114
USW00094725,WT01,Fog or ice fog or freezing fog,20200114
USW00094725,WT06,Glaze,20200114
USW00094728,WT01,Fog or ice fog or freezing fog,20200114
USW00094740,WT01,Fog or ice fog or freezing fog,20200114
USW00094789,WT01,Fog or ice fog or freezing fog,20200114
USW00094790,WT01,Fog or ice fog or freezing fog,20200114
USW00094790,WT06,Glaze,20200114
USW00094790,WT08,Smoke or haze,20200114
USC00301211,WT01,Fog or ice fog or freezing fog,20200115
USC00301309,WT01,Fog or ice fog or freezing fog,20200115
USC00304996,WT04,Ice pellets,20200115
USC00304996,WT06,Glaze,20200115
USW00004725,WT01,Fog or ice fog or freezing fog,20200115
USW00004725,WT06,Glaze,20200115
USW00004781,WT01,Fog or ice fog or freezing fog,20200115
USW00014732,WT01,Fog or ice fog or freezing fog,20200115
USW00014732,WT08,Smoke or haze,20200115
USW00014757,WT01,Fog or ice fog or freezing fog,20200115
USW00014757,WT02,Heavy Fog,20200115
USW00064776,WT01,Fog or ice fog or freezing fog,20200115
USW00094725,WT01,Fog or ice fog or freezing fog,20200115
USW00094728,WT01,Fog or ice fog or freezing fog,20200115
USW00094728,WT08,Smoke or haze,20200115
USW00094740,WT01,Fog or ice fog or freezing fog,20200115
USW00094789,WT01,Fog or ice fog or freezing fog,20200115
USW00094790,WT01,Fog or ice fog or freezing fog,20200115
USW00094790,WT08,Smoke or haze,20200115
USC00300321,WT01,Fog or ice fog or freezing fog,20200116
USC00301068,WT01,Fog or ice fog or freezing fog,20200116
USC00301309,WT01,Fog or ice fog or freezing fog,20200116
USC00304808,WT04,Ice pellets,20200116
USC00306746,WT04,Ice pellets,20200116
USW00004725,WT01,Fog or ice fog or freezing fog,20200116
USW00004725,WT06,Glaze,20200116
USW00004725,WT08,Smoke or haze,20200116
